"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"7692",7692,1,53,1,"employed",1,"no college",14,0
"7693",7693,1,69,1,"retired",1,"no college",12,0
"7694",7694,2,40,1,"employed",1,"no college",17,0
"7695",7695,1,39,1,"employed",1,"associate",16,0
"7696",7696,1,37,1,"employed",1,"associate",14,0
"7697",7697,1,27,1,"employed",1,"no college",12,0
"7698",7698,1,26,0,"employed",1,"no college",12,0
"7699",7699,1,44,1,"employed",1,"associate",14,0
"7700",7700,1,50,1,"employed",1,"no college",13,0
"7701",7701,2,40,0,"employed",1,"associate",14,0
"7702",7702,2,19,0,"employed",1,"no college",13,9000
"7703",7703,1,48,1,"employed",1,"no college",12,0
"7704",7704,2,38,1,"keeping house",1,"associate",14,0
"7705",7705,2,36,1,"employed",1,"associate",14,0
"7706",7706,1,49,1,"keeping house",1,"no college",9,0
"7707",7707,1,45,1,"employed",1,"bachelor",16,0
"7708",7708,1,38,1,"employed",1,"bachelor",17,0
"7709",7709,2,40,1,"employed",1,"bachelor",16,0
"7710",7710,1,22,0,NA,0,"no college",0,0
"7711",7711,2,31,1,"keeping house",1,"bachelor",17,0
"7712",7712,1,30,1,"employed",1,"bachelor",16,0
"7713",7713,2,32,1,"NA",1,"bachelor",16,0
"7714",7714,2,27,1,"keeping house",1,"no college",11,0
"7715",7715,1,36,1,"employed",1,"no college",17,0
"7716",7716,1,34,0,"other",0,"no college",0,6000
"7717",7717,1,26,1,"employed",1,"no college",11,0
"7718",7718,1,37,1,"employed",1,"no college",12,0
"7719",7719,1,8,0,NA,0,"no college",0,0
"7720",7720,2,33,1,"employed",1,"no college",8,0
"7721",7721,2,8,0,NA,0,"no college",0,0
"7722",7722,1,6,0,NA,0,"no college",0,0
"7723",7723,2,5,0,NA,0,"no college",0,0
"7724",7724,1,35,1,"employed",1,"no college",14,0
"7725",7725,2,14,0,NA,0,"no college",0,0
"7726",7726,1,31,0,"NA",1,"no college",13,0
"7727",7727,1,45,0,"NA",1,"no college",12,40000
"7728",7728,2,75,0,"retired",0,"no college",0,0
"7729",7729,2,4,0,NA,0,"no college",0,0
"7730",7730,2,21,0,"NA",1,"no college",99,3500
"7731",7731,1,35,1,"employed",1,"no college",99,0
"7732",7732,2,9,0,NA,0,"no college",0,0
"7733",7733,1,66,0,"retired",0,"no college",0,0
"7734",7734,1,31,1,"employed",1,"no college",12,0
"7735",7735,1,12,0,NA,0,"no college",0,0
"7736",7736,2,30,0,NA,0,"no college",0,0
"7737",7737,2,22,1,"employed",1,"associate",14,0
"7738",7738,1,66,1,"employed",1,"no college",10,0
"7739",7739,1,65,1,"retired",1,"no college",12,0
"7740",7740,2,61,0,"retired",1,"no college",6,0
"7741",7741,2,42,1,"keeping house",1,"no college",11,0
"7742",7742,1,40,1,"employed",1,"associate",14,0
"7743",7743,1,43,1,"employed",1,"no college",12,0
"7744",7744,2,42,0,"employed",1,"no college",10,0
"7745",7745,1,37,1,"employed",1,"no college",11,0
"7746",7746,2,36,1,"employed",1,"no college",11,0
"7747",7747,2,35,1,"employed",1,"associate",17,0
"7748",7748,2,30,0,"employed",1,"no college",14,0
"7749",7749,1,28,1,"employed",1,"no college",12,0
"7750",7750,1,26,0,"unemployed",1,"no college",12,23000
"7751",7751,2,23,0,"employed",1,"associate",15,30000
"7752",7752,1,21,0,"other",1,"no college",12,0
"7753",7753,1,18,0,"unemployed",1,"no college",12,0
"7754",7754,1,16,0,"student",1,"no college",10,0
"7755",7755,1,16,0,"employed",1,"no college",10,0
"7756",7756,2,15,0,NA,0,"no college",0,0
"7757",7757,2,12,0,NA,0,"no college",0,0
"7758",7758,2,13,0,NA,0,"no college",0,0
"7759",7759,2,9,0,NA,0,"no college",0,0
"7760",7760,1,6,0,NA,0,"no college",0,0
"7761",7761,2,6,0,NA,0,"no college",0,0
"7762",7762,2,6,0,NA,0,"no college",0,0
"7763",7763,2,3,0,NA,0,"no college",0,0
"7764",7764,2,59,1,"retired",1,"no college",12,0
"7765",7765,2,64,1,"retired",1,"no college",11,0
"7766",7766,2,37,1,"employed",1,"no college",17,0
"7767",7767,2,41,1,"employed",1,"associate",17,0
"7768",7768,1,36,1,"employed",1,"no college",12,0
"7769",7769,2,44,1,"keeping house",1,"no college",11,0
"7770",7770,2,31,0,"employed",1,"no college",11,0
"7771",7771,1,39,1,"employed",1,"associate",15,0
"7772",7772,1,44,1,"employed",1,"no college",13,0
"7773",7773,1,31,1,"employed",1,"no college",13,0
"7774",7774,2,6,0,NA,0,"no college",0,0
"7775",7775,2,32,1,"employed",1,"no college",12,0
"7776",7776,2,13,0,NA,0,"no college",0,0
"7777",7777,1,9,0,NA,0,"no college",0,0
"7778",7778,1,4,0,NA,0,"no college",0,0
"7779",7779,2,30,1,"employed",1,"no college",99,0
"7780",7780,2,81,0,NA,0,"no college",0,0
"7781",7781,1,60,1,"employed",1,"associate",14,0
"7782",7782,2,51,1,"employed",1,"associate",14,0
"7783",7783,1,37,1,"employed",1,"bachelor",16,0
"7784",7784,1,11,0,NA,0,"no college",0,0
"7785",7785,2,9,0,NA,0,"no college",0,0
"7786",7786,1,55,1,"employed",1,"no college",12,0
"7787",7787,1,24,0,"employed",1,"bachelor",16,37000
"7788",7788,1,17,0,"unemployed",1,"no college",10,0
"7789",7789,1,35,0,"other",1,"no college",11,10847
"7790",7790,2,40,1,"employed",1,"bachelor",99,0
"7791",7791,2,20,0,"employed",1,"no college",12,15000
"7792",7792,1,13,0,NA,0,"no college",0,0
"7793",7793,1,16,0,"student",1,"no college",10,0
"7794",7794,2,62,1,"employed",1,"no college",12,0
"7795",7795,2,62,0,"employed",1,"no college",12,0
"7796",7796,2,55,0,"employed",0,"no college",0,0
"7797",7797,2,82,0,"retired",0,"no college",0,0
"7798",7798,2,82,0,"retired",1,"no college",10,0
"7799",7799,2,63,0,"employed",1,"no college",13,0
"7800",7800,2,61,1,"employed",1,"no college",12,0
"7801",7801,2,58,0,"employed",1,"no college",12,0
"7802",7802,2,56,1,"employed",1,"no college",12,0
"7803",7803,1,46,0,"employed",1,"no college",12,0
"7804",7804,1,42,1,"employed",1,"no college",12,0
"7805",7805,1,40,1,"employed",1,"no college",12,0
"7806",7806,2,37,0,"employed",1,"bachelor",16,0
"7807",7807,2,36,0,"employed",1,"no college",14,0
"7808",7808,1,32,1,"employed",1,"no college",11,0
"7809",7809,1,32,0,"employed",1,"no college",12,0
"7810",7810,2,30,1,"keeping house",1,"no college",13,0
"7811",7811,1,21,0,"unemployed",1,"no college",12,0
"7812",7812,1,20,0,"student",1,"no college",13,10847
"7813",7813,1,13,0,NA,0,"no college",0,0
"7814",7814,2,10,0,NA,0,"no college",0,0
"7815",7815,2,9,0,NA,0,"no college",0,0
"7816",7816,1,4,0,NA,0,"no college",0,0
"7817",7817,2,2,0,NA,0,"no college",0,0
"7818",7818,2,1,0,NA,0,"no college",0,0
"7819",7819,2,42,0,"employed",1,"no college",13,0
"7820",7820,2,63,1,"employed",3,"medical degree",17,0
"7821",7821,1,41,0,"employed",1,"no college",13,75000
"7822",7822,1,67,1,"retired",1,"no college",12,0
"7823",7823,2,35,1,"employed",1,"no college",14,0
"7824",7824,2,32,1,"employed",1,"no college",12,0
"7825",7825,2,48,1,"employed",1,"no college",12,0
"7826",7826,2,45,0,"employed",1,"no college",12,30000
"7827",7827,1,39,1,"disabled",1,"no college",12,0
"7828",7828,2,17,0,"student",1,"no college",11,0
"7829",7829,1,44,0,NA,0,"no college",0,0
"7830",7830,1,7,0,NA,0,"no college",0,0
"7831",7831,2,15,0,NA,0,"no college",0,0
"7832",7832,1,74,0,NA,0,"no college",0,0
"7833",7833,2,55,0,"employed",1,"doctorate",17,0
"7834",7834,1,52,1,"employed",1,"bachelor",16,0
"7835",7835,1,47,1,"employed",1,"no college",17,0
"7836",7836,2,45,0,"employed",8,"associate",14,3000
"7837",7837,1,33,1,"employed",1,"no college",12,0
"7838",7838,2,30,0,"keeping house",1,"no college",15,0
"7839",7839,2,25,0,"student",1,"master",17,0
"7840",7840,2,22,0,NA,0,"no college",0,0
"7841",7841,2,20,0,NA,0,"no college",0,0
"7842",7842,1,7,0,NA,0,"no college",0,0
"7843",7843,1,1,0,NA,0,"no college",0,0
"7844",7844,2,67,0,"employed",1,"associate",14,0
"7845",7845,2,46,1,"employed",1,"master",17,0
"7846",7846,2,45,1,"employed",1,"no college",12,0
"7847",7847,2,34,1,"employed",1,"no college",12,0
"7848",7848,1,14,0,NA,0,"no college",0,0
"7849",7849,2,7,0,NA,0,"no college",0,0
"7850",7850,1,57,0,NA,0,"no college",0,0
"7851",7851,1,62,0,"furlough",1,"no college",12,0
"7852",7852,2,66,0,"retired",1,"associate",14,0
"7853",7853,2,78,0,"retired",1,"no college",12,0
"7854",7854,1,58,1,"employed",1,"no college",12,0
"7855",7855,1,53,1,"employed",1,"bachelor",16,0
"7856",7856,2,38,1,"employed",1,"bachelor",16,0
"7857",7857,1,16,0,"student",1,"no college",10,350
"7858",7858,2,13,0,NA,0,"no college",0,0
"7859",7859,2,5,0,NA,0,"no college",0,0
"7860",7860,2,65,1,"retired",1,"no college",12,0
"7861",7861,1,29,0,"employed",1,"no college",13,0
"7862",7862,2,47,1,"keeping house",1,"bachelor",16,0
"7863",7863,1,40,1,"employed",1,"associate",15,0
"7864",7864,1,71,1,"retired",1,"no college",12,0
"7865",7865,2,67,1,"retired",1,"no college",10,0
"7866",7866,2,51,0,"disabled",1,"associate",14,0
"7867",7867,1,34,0,"employed",1,"no college",15,0
"7868",7868,2,28,1,"employed",1,"associate",14,0
"7869",7869,1,28,1,"unemployed",1,"associate",14,0
"7870",7870,2,34,1,"disabled",1,"no college",12,0
"7871",7871,2,16,0,"unemployed",1,"no college",9,0
"7872",7872,2,6,0,NA,0,"no college",0,0
"7873",7873,2,26,0,"NA",1,"refused_answer",16,10847
"7874",7874,1,6,0,NA,0,"no college",0,0
"7875",7875,1,3,0,NA,0,"no college",0,0
"7876",7876,1,34,1,"employed",1,"no college",12,0
"7877",7877,2,58,1,"employed",1,"no college",12,0
"7878",7878,2,38,1,"employed",1,"no college",12,0
"7879",7879,2,20,0,"employed",1,"no college",11,20349
"7880",7880,1,13,0,NA,0,"no college",0,0
"7881",7881,1,61,1,"employed",1,"no college",12,0
"7882",7882,1,40,1,"employed",1,"associate",14,0
"7883",7883,2,95,0,"retired",1,"no college",13,0
"7884",7884,2,59,1,"retired",1,"no college",13,0
"7885",7885,1,61,1,"employed",1,"no college",12,0
"7886",7886,1,38,0,"employed",1,"associate",16,0
"7887",7887,2,36,0,"employed",1,"no college",12,0
"7888",7888,2,18,0,"keeping house",1,"no college",12,0
"7889",7889,2,10,0,NA,0,"no college",0,0
"7890",7890,1,4,0,NA,0,"no college",0,0
"7891",7891,1,56,1,"retired",1,"no college",12,0
"7892",7892,2,53,1,"employed",1,"no college",12,0
"7893",7893,2,42,0,NA,0,"no college",0,0
"7894",7894,2,45,1,"employed",1,"no college",14,0
"7895",7895,1,11,0,NA,0,"no college",0,0
"7896",7896,2,11,0,NA,0,"no college",0,0
"7897",7897,1,57,1,"employed",2,"no college",12,0
"7898",7898,2,64,1,"retired",1,"no college",12,0
"7899",7899,1,62,1,"disabled",1,"no college",14,0
"7900",7900,1,70,1,"retired",1,"no college",12,0
"7901",7901,1,68,0,"disabled",1,"associate",17,0
"7902",7902,1,48,1,"employed",1,"no college",12,0
"7903",7903,2,46,0,"employed",1,"no college",12,0
"7904",7904,2,41,0,"employed",1,"no college",13,0
"7905",7905,2,41,0,"employed",1,"no college",17,0
"7906",7906,1,38,0,NA,0,"no college",0,0
"7907",7907,1,30,0,"unemployed",1,"no college",11,0
"7908",7908,2,22,0,"unemployed",8,"no college",11,19000
"7909",7909,2,19,0,NA,0,"no college",0,0
"7910",7910,2,18,0,"employed",1,"no college",13,0
"7911",7911,2,15,0,NA,0,"no college",0,0
"7912",7912,1,13,0,NA,0,"no college",0,0
"7913",7913,2,9,0,NA,0,"no college",0,0
"7914",7914,1,6,0,NA,0,"no college",0,0
"7915",7915,2,3,0,NA,0,"no college",0,0
"7916",7916,1,2,0,NA,0,"no college",0,0
"7917",7917,2,1,0,NA,0,"no college",0,0
"7918",7918,2,1,0,NA,0,"no college",0,0
"7919",7919,1,69,1,"retired",1,"no college",12,0
"7920",7920,1,48,0,"disabled",1,"associate",14,0
"7921",7921,1,48,0,"unemployed",1,"no college",14,0
"7922",7922,1,47,1,"employed",1,"no college",12,0
"7923",7923,2,69,1,"disabled",1,"no college",12,0
"7924",7924,2,34,0,"employed",1,"no college",14,0
"7925",7925,1,28,0,"employed",1,"no college",13,0
"7926",7926,1,26,0,"employed",1,"no college",12,0
"7927",7927,2,49,1,"employed",1,"no college",11,0
"7928",7928,2,60,1,"employed",1,"no college",14,0
"7929",7929,1,27,0,"NA",1,"no college",12,10847
"7930",7930,1,29,0,"employed",0,"no college",0,0
"7931",7931,2,50,1,"employed",1,"bachelor",16,0
"7932",7932,1,31,0,"employed",1,"no college",12,0
"7933",7933,1,1,0,NA,0,"no college",0,0
"7934",7934,1,57,1,"unemployed",1,"no college",12,0
"7935",7935,2,55,1,"keeping house",1,"no college",12,0
"7936",7936,1,49,1,"disabled",1,"no college",12,0
"7937",7937,1,35,1,"employed",1,"bachelor",17,0
"7938",7938,1,31,0,"employed",1,"no college",17,0
"7939",7939,2,29,0,"other",1,"no college",12,3000
"7940",7940,1,26,0,"employed",8,"no college",12,6500
"7941",7941,1,9,0,NA,0,"no college",0,0
"7942",7942,2,2,0,NA,0,"no college",0,0
"7943",7943,1,1,0,NA,0,"no college",0,0
"7944",7944,1,62,1,"employed",1,"no college",12,0
"7945",7945,2,49,1,"employed",1,"no college",13,0
"7946",7946,2,65,1,"retired",1,"no college",12,0
"7947",7947,1,6,0,NA,0,"no college",0,0
"7948",7948,1,32,0,NA,0,"no college",0,0
"7949",7949,2,32,1,"keeping house",1,"no college",12,0
"7950",7950,2,10,0,NA,0,"no college",0,0
"7951",7951,2,7,0,NA,0,"no college",0,0
"7952",7952,2,67,0,"retired",0,"no college",0,0
"7953",7953,2,65,1,"employed",1,"master",17,0
"7954",7954,1,42,1,"employed",1,"master",17,0
"7955",7955,2,40,1,"student",1,"master",17,0
"7956",7956,2,36,0,"employed",1,"master",17,0
"7957",7957,1,34,1,"employed",1,"master",17,0
"7958",7958,2,14,0,NA,0,"no college",0,0
"7959",7959,2,11,0,NA,0,"no college",0,0
"7960",7960,2,7,0,NA,0,"no college",0,0
"7961",7961,1,1,0,NA,0,"no college",0,0
"7962",7962,1,65,1,"employed",1,"bachelor",17,0
"7963",7963,2,41,1,"employed",1,"master",17,0
"7964",7964,1,33,1,"employed",1,"master",17,0
"7965",7965,2,31,1,"employed",3,"juris doctorate",17,0
"7966",7966,2,60,1,"employed",1,"bachelor",17,0
"7967",7967,1,29,1,"employed",1,"master",17,0
"7968",7968,2,26,1,"employed",1,"bachelor",17,0
"7969",7969,1,69,1,"retired",2,"no college",11,0
"7970",7970,1,29,1,"unemployed",1,"no college",12,0
"7971",7971,2,30,1,"employed",1,"bachelor",17,0
"7972",7972,1,78,1,"retired",1,"no college",12,0
"7973",7973,2,73,1,"retired",1,"no college",12,0
"7974",7974,2,54,1,"furlough",1,"no college",12,0
"7975",7975,1,37,1,"employed",1,"no college",13,0
"7976",7976,1,33,0,"employed",1,"no college",12,0
"7977",7977,2,33,0,"employed",1,"bachelor",17,0
"7978",7978,2,30,0,"employed",1,"associate",14,0
"7979",7979,2,30,0,"employed",1,"no college",12,0
"7980",7980,2,29,0,"employed",1,"no college",13,0
"7981",7981,2,25,1,"employed",1,"no college",12,0
"7982",7982,1,10,0,NA,0,"no college",0,0
"7983",7983,1,9,0,NA,0,"no college",0,0
"7984",7984,2,6,0,NA,0,"no college",0,0
"7985",7985,2,1,0,NA,0,"no college",0,0
"7986",7986,1,57,1,"employed",1,"associate",14,0
"7987",7987,1,29,0,"employed",1,"no college",13,60000
"7988",7988,1,71,0,"retired",0,"no college",0,0
"7989",7989,1,26,1,"employed",1,"no college",99,0
"7990",7990,2,71,0,NA,0,"no college",0,0
"7991",7991,2,31,1,"employed",1,"no college",12,0
"7992",7992,2,32,0,"employed",1,"no college",15,50000
"7993",7993,2,57,0,"keeping house",1,"no college",15,0
"7994",7994,2,55,0,"employed",1,"no college",15,0
"7995",7995,2,51,0,"employed",1,"master",17,0
"7996",7996,2,29,0,"employed",1,"no college",17,0
"7997",7997,2,27,0,"employed",1,"no college",17,0
"7998",7998,1,4,0,NA,0,"no college",0,0
"7999",7999,2,67,0,"disabled",1,"associate",14,0
"8000",8000,2,38,0,"employed",1,"master",17,0
"8001",8001,1,70,1,"retired",1,"master",16,0
"8002",8002,2,46,1,"employed",1,"master",17,0
"8003",8003,2,15,0,NA,0,"no college",0,0
"8004",8004,1,12,0,NA,0,"no college",0,0
"8005",8005,2,65,1,"retired",1,"master",16,0
"8006",8006,1,45,1,"employed",1,"no college",14,0
"8007",8007,1,62,1,"employed",1,"no college",14,0
"8008",8008,2,57,0,"employed",1,"no college",12,0
"8009",8009,1,38,0,"employed",1,"no college",14,0
"8010",8010,1,35,1,"employed",1,"no college",12,0
"8011",8011,2,31,1,"employed",1,"no college",17,0
"8012",8012,1,6,0,NA,0,"no college",0,0
"8013",8013,1,4,0,NA,0,"no college",0,0
"8014",8014,2,3,0,NA,0,"no college",0,0
"8015",8015,2,62,1,"employed",1,"no college",14,0
"8016",8016,1,33,1,"employed",1,"no college",12,0
"8017",8017,2,32,1,"employed",1,"no college",15,0
"8018",8018,1,75,0,"retired",1,"bachelor",16,0
"8019",8019,2,75,0,NA,0,"no college",0,0
"8020",8020,2,73,1,"retired",1,"no college",12,0
"8021",8021,1,75,1,"retired",1,"bachelor",16,0
"8022",8022,1,76,1,"retired",3,"bachelor",16,0
"8023",8023,2,48,1,"employed",1,"no college",12,0
"8024",8024,2,78,0,"retired",1,"no college",12,0
"8025",8025,2,50,1,"employed",1,"bachelor",16,0
"8026",8026,2,18,0,"employed",1,"no college",11,4300
"8027",8027,2,15,0,NA,0,"no college",0,0
"8028",8028,1,51,1,"employed",1,"bachelor",16,0
"8029",8029,1,59,0,"employed",1,"no college",12,0
"8030",8030,2,61,1,"employed",1,"no college",12,0
"8031",8031,1,39,1,"employed",1,"no college",12,0
"8032",8032,1,61,1,"disabled",1,"no college",12,0
"8033",8033,2,44,1,"employed",1,"no college",14,0
"8034",8034,1,23,0,"employed",1,"no college",14,10000
"8035",8035,2,19,0,"student",1,"no college",13,4000
"8036",8036,1,79,1,"retired",1,"no college",9,0
"8037",8037,2,78,1,"retired",1,"no college",10,0
"8038",8038,1,57,1,"retired",1,"no college",12,0
"8039",8039,1,48,0,"employed",8,"no college",99,0
"8040",8040,2,37,1,"employed",1,"no college",15,0
"8041",8041,1,39,1,"employed",1,"no college",12,0
"8042",8042,2,18,0,"employed",1,"no college",11,0
"8043",8043,1,15,0,NA,0,"no college",0,0
"8044",8044,1,12,0,NA,0,"no college",0,0
"8045",8045,1,14,0,NA,0,"no college",0,0
"8046",8046,1,9,0,NA,0,"no college",0,0
"8047",8047,1,9,0,NA,0,"no college",0,0
"8048",8048,2,2,0,NA,0,"no college",0,0
"8049",8049,2,65,1,"retired",1,"associate",14,0
"8050",8050,2,33,1,"employed",1,"no college",12,0
"8051",8051,1,33,1,"disabled",1,"no college",12,0
"8052",8052,1,77,0,"retired",1,"no college",10,0
"8053",8053,2,65,0,"retired",1,"no college",12,0
"8054",8054,2,64,0,"disabled",1,"no college",8,0
"8055",8055,2,57,1,"employed",1,"no college",12,0
"8056",8056,2,56,1,"keeping house",1,"no college",13,0
"8057",8057,2,45,0,"disabled",1,"no college",10,0
"8058",8058,1,47,1,"employed",1,"no college",12,0
"8059",8059,2,43,0,"employed",1,"no college",14,0
"8060",8060,2,42,0,"keeping house",1,"no college",8,0
"8061",8061,2,39,1,"disabled",1,"no college",12,0
"8062",8062,1,36,1,"disabled",1,"no college",10,0
"8063",8063,1,37,1,"employed",1,"no college",12,0
"8064",8064,1,29,0,"employed",1,"no college",12,0
"8065",8065,1,27,1,"employed",1,"no college",10,0
"8066",8066,1,27,1,"employed",1,"no college",12,0
"8067",8067,1,22,0,"employed",1,"no college",12,0
"8068",8068,2,21,0,"unemployed",1,"no college",10,10847
"8069",8069,1,20,0,"employed",1,"no college",14,635
"8070",8070,2,22,0,"employed",1,"no college",11,0
"8071",8071,2,19,0,"unemployed",1,"no college",10,10847
"8072",8072,2,17,0,"employed",1,"no college",9,10847
"8073",8073,2,18,0,"employed",1,"no college",12,0
"8074",8074,1,17,0,"employed",1,"no college",10,0
"8075",8075,2,18,0,"employed",1,"no college",10,0
"8076",8076,1,15,0,NA,0,"no college",0,0
"8077",8077,2,15,0,NA,0,"no college",0,0
"8078",8078,1,14,0,NA,0,"no college",0,0
"8079",8079,2,12,0,NA,0,"no college",0,0
"8080",8080,2,11,0,NA,0,"no college",0,0
"8081",8081,2,9,0,NA,0,"no college",0,0
"8082",8082,1,7,0,NA,0,"no college",0,0
"8083",8083,2,6,0,NA,0,"no college",0,0
"8084",8084,1,4,0,NA,0,"no college",0,0
"8085",8085,1,2,0,NA,0,"no college",0,0
"8086",8086,1,1,0,NA,0,"no college",0,0
"8087",8087,1,1,0,NA,0,"no college",0,0
"8088",8088,1,1,0,NA,0,"no college",0,0
"8089",8089,1,42,1,"employed",1,"no college",11,0
"8090",8090,1,63,1,"retired",1,"no college",12,0
"8091",8091,1,48,0,NA,0,"no college",0,0
"8092",8092,1,40,0,"employed",1,"no college",12,0
"8093",8093,2,55,1,"employed",1,"no college",12,0
"8094",8094,2,44,0,"employed",1,"other",13,0
"8095",8095,2,38,1,"employed",1,"no college",12,0
"8096",8096,1,33,1,"employed",1,"no college",12,0
"8097",8097,1,43,1,"employed",1,"no college",12,0
"8098",8098,1,12,0,NA,0,"no college",0,0
"8099",8099,2,26,1,"employed",1,"no college",15,0
"8100",8100,2,28,1,"keeping house",8,"no college",99,0
"8101",8101,1,47,1,"employed",1,"no college",12,0
"8102",8102,1,64,2,"disabled",0,"no college",0,0
"8103",8103,2,58,2,"employed",0,"no college",0,16797
"8104",8104,2,30,0,"employed",1,"no college",12,0
"8105",8105,2,28,0,"keeping house",1,"no college",8,10847
"8106",8106,2,8,0,NA,0,"no college",0,0
"8107",8107,1,6,0,NA,0,"no college",0,0
"8108",8108,2,30,1,"employed",1,"no college",12,0
"8109",8109,1,11,0,NA,0,"no college",0,0
"8110",8110,1,38,0,"employed",1,"no college",8,10847
"8111",8111,1,12,0,NA,0,"no college",0,0
"8112",8112,1,2,0,NA,0,"no college",0,0
"8113",8113,1,38,0,"disabled",1,"no college",12,0
"8114",8114,1,20,0,"employed",1,"no college",12,14200
"8115",8115,1,30,0,"employed",1,"no college",12,10847
"8116",8116,2,37,1,"employed",1,"no college",13,0
"8117",8117,1,11,0,NA,0,"no college",0,0
"8118",8118,2,11,0,NA,0,"no college",0,0
"8119",8119,1,18,0,"employed",1,"no college",11,5300
"8120",8120,1,16,0,"employed",1,"no college",10,2150
"8121",8121,1,39,1,"disabled",1,"no college",99,0
"8122",8122,1,2,0,NA,0,"no college",0,0
"8123",8123,2,23,0,NA,0,"no college",0,0
"8124",8124,1,23,0,"employed",1,"no college",99,0
"8125",8125,1,4,0,NA,0,"no college",0,0
"8126",8126,1,22,0,"employed",1,"no college",12,16000
"8127",8127,2,69,0,"retired",1,"no college",13,0
"8128",8128,1,65,1,"retired",1,"master",14,0
"8129",8129,2,52,1,"employed",1,"no college",12,0
"8130",8130,2,42,0,"employed",1,"master",17,0
"8131",8131,2,39,1,"employed",1,"bachelor",16,0
"8132",8132,1,36,0,"unemployed",1,"no college",12,0
"8133",8133,2,32,1,"employed",1,"no college",12,0
"8134",8134,2,28,1,"employed",1,"associate",14,0
"8135",8135,1,22,0,"unemployed",1,"no college",14,0
"8136",8136,2,21,0,"unemployed",1,"no college",12,0
"8137",8137,2,20,0,"unemployed",1,"no college",11,2000
"8138",8138,2,13,0,NA,0,"no college",0,0
"8139",8139,1,10,0,NA,0,"no college",0,0
"8140",8140,1,11,0,NA,0,"no college",0,0
"8141",8141,1,10,0,NA,0,"no college",0,0
"8142",8142,1,10,0,NA,0,"no college",0,0
"8143",8143,2,7,0,NA,0,"no college",0,0
"8144",8144,1,5,0,NA,0,"no college",0,0
"8145",8145,2,4,0,NA,0,"no college",0,0
"8146",8146,1,3,0,NA,0,"no college",0,0
"8147",8147,1,2,0,NA,0,"no college",0,0
"8148",8148,2,64,1,"retired",1,"no college",12,0
"8149",8149,1,56,0,"employed",0,"no college",0,10847
"8150",8150,1,41,1,"employed",1,"bachelor",16,0
"8151",8151,1,15,0,NA,0,"no college",0,0
"8152",8152,1,53,1,"employed",1,"no college",12,0
"8153",8153,2,44,1,"disabled",1,"no college",12,0
"8154",8154,1,23,0,"disabled",8,"no college",11,0
"8155",8155,1,20,0,"student",1,"no college",12,0
"8156",8156,1,39,1,"employed",1,"no college",12,0
"8157",8157,2,36,0,"keeping house",1,"associate",16,0
"8158",8158,1,28,1,"employed",1,"no college",12,0
"8159",8159,2,22,0,"employed",9,"no college",99,7430
"8160",8160,1,47,0,"disabled",1,"no college",14,0
"8161",8161,1,55,1,"employed",1,"no college",12,0
"8162",8162,1,24,0,"employed",1,"bachelor",16,30000
"8163",8163,2,17,0,"employed",1,"no college",11,0
"8164",8164,2,83,0,"disabled",1,"no college",12,0
"8165",8165,2,63,1,"retired",1,"master",17,0
"8166",8166,1,41,0,"employed",1,"no college",13,0
"8167",8167,1,36,1,"employed",1,"doctorate",17,0
"8168",8168,2,32,1,"employed",3,"juris doctorate",17,0
"8169",8169,2,21,1,"employed",1,"no college",14,0
"8170",8170,1,17,0,"employed",1,"no college",11,2800
"8171",8171,2,3,0,NA,0,"no college",0,0
"8172",8172,1,64,1,"retired",1,"no college",12,0
"8173",8173,2,68,0,"employed",0,"no college",0,47000
"8174",8174,2,85,0,"retired",0,"no college",0,0
"8175",8175,1,34,1,"employed",1,"no college",12,0
"8176",8176,2,42,1,"employed",1,"bachelor",16,0
"8177",8177,1,19,0,"employed",1,"no college",13,20000
"8178",8178,1,17,0,"employed",1,"no college",11,50000
"8179",8179,1,31,1,"employed",1,"no college",13,0
"8180",8180,1,76,1,"employed",1,"no college",12,0
"8181",8181,2,75,1,"retired",1,"no college",12,0
"8182",8182,1,50,1,"employed",1,"bachelor",16,0
"8183",8183,1,48,1,"employed",1,"bachelor",16,0
"8184",8184,1,19,0,"student",1,"no college",13,2500
"8185",8185,2,17,0,"student",1,"no college",10,0
"8186",8186,2,14,0,NA,0,"no college",0,0
"8187",8187,1,14,0,NA,0,"no college",0,0
"8188",8188,2,48,1,"keeping house",1,"bachelor",17,0
"8189",8189,2,48,1,"employed",1,"master",17,0
"8190",8190,2,53,1,"employed",1,"associate",14,0
"8191",8191,2,52,1,"keeping house",1,"bachelor",16,0
"8192",8192,1,32,0,"employed",1,"no college",12,0
"8193",8193,1,30,1,"employed",1,"associate",14,0
"8194",8194,2,28,1,"employed",1,"no college",15,0
"8195",8195,2,28,1,"keeping house",3,"bachelor",17,0
"8196",8196,2,25,0,"employed",3,"bachelor",16,0
"8197",8197,2,12,0,NA,0,"no college",0,0
"8198",8198,1,5,0,NA,0,"no college",0,0
"8199",8199,1,3,0,NA,0,"no college",0,0
"8200",8200,2,2,0,NA,0,"no college",0,0
"8201",8201,1,2,0,NA,0,"no college",0,0
"8202",8202,1,1,0,NA,0,"no college",0,0
"8203",8203,2,1,0,NA,0,"no college",0,0
"8204",8204,1,57,1,"unemployed",1,"bachelor",16,0
"8205",8205,1,53,1,"employed",1,"bachelor",16,0
