"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"126",126,1,70,1,"retired",1,"no college",14,0
"127",127,2,46,1,"employed",1,"bachelor",17,0
"128",128,1,41,0,"unemployed",1,"no college",12,0
"129",129,2,29,0,"employed",8,"no college",14,22000
"130",130,2,26,1,"employed",1,"no college",13,0
"131",131,1,24,1,"unemployed",1,"no college",12,0
"132",132,2,11,0,NA,0,"no college",0,0
"133",133,2,7,0,NA,0,"no college",0,0
"134",134,2,5,0,NA,0,"no college",0,0
"135",135,1,50,1,"employed",1,"bachelor",16,0
"136",136,2,55,1,"disabled",1,"no college",11,0
"137",137,1,26,1,"employed",1,"no college",12,0
"138",138,1,9,0,NA,0,"no college",0,0
"139",139,2,21,1,"employed",1,"no college",12,0
"140",140,2,98,0,"retired",1,"no college",12,0
"141",141,1,64,0,"retired",1,"no college",14,0
"142",142,1,88,0,"retired",1,"no college",10,0
"143",143,2,65,1,"keeping house",1,"no college",13,0
"144",144,2,66,0,"retired",1,"no college",15,0
"145",145,1,68,1,"retired",1,"no college",14,0
"146",146,2,60,1,"retired",1,"no college",14,0
"147",147,1,53,1,"retired",1,"no college",11,0
"148",148,1,32,1,"employed",1,"associate",14,0
"149",149,2,29,1,"unemployed",1,"no college",12,0
"150",150,1,25,1,"unemployed",1,"juris doctorate",17,0
"151",151,2,22,0,"employed",1,"bachelor",16,0
"152",152,1,5,0,NA,0,"no college",0,0
"153",153,1,1,0,NA,0,"no college",0,0
"154",154,2,50,1,"retired",1,"no college",12,0
"155",155,1,55,1,"employed",1,"other",17,0
"156",156,2,32,1,"keeping house",1,"associate",14,0
"157",157,1,13,0,NA,0,"no college",0,0
"158",158,1,10,0,NA,0,"no college",0,0
"159",159,1,34,1,"employed",1,"no college",12,0
"160",160,1,34,1,"employed",1,"doctorate",16,0
"161",161,2,79,0,"retired",1,"no college",13,0
"162",162,2,55,0,"disabled",1,"bachelor",17,0
"163",163,2,51,1,"employed",1,"bachelor",16,0
"164",164,1,54,1,"employed",1,"no college",13,0
"165",165,2,37,1,"keeping house",1,"no college",13,0
"166",166,2,33,1,"employed",1,"no college",12,0
"167",167,2,19,0,"student",1,"no college",13,0
"168",168,2,16,0,"student",1,"no college",9,0
"169",169,2,15,0,NA,0,"no college",0,0
"170",170,2,12,0,NA,0,"no college",0,0
"171",171,1,13,0,NA,0,"no college",0,0
"172",172,2,11,0,NA,0,"no college",0,0
"173",173,1,9,0,NA,0,"no college",0,0
"174",174,2,7,0,NA,0,"no college",0,0
"175",175,1,7,0,NA,0,"no college",0,0
"176",176,2,2,0,NA,0,"no college",0,0
"177",177,2,1,0,NA,0,"no college",0,0
"178",178,2,54,1,"employed",1,"associate",15,0
"179",179,1,59,1,"employed",3,"no college",14,0
"180",180,1,43,1,"employed",1,"no college",17,0
"181",181,1,27,0,"unemployed",1,"no college",12,0
"182",182,1,37,1,"employed",1,"associate",14,0
"183",183,1,19,0,"keeping house",1,"no college",12,0
"184",184,2,16,0,"student",1,"no college",8,0
"185",185,2,15,0,NA,0,"no college",0,0
"186",186,1,5,0,NA,0,"no college",0,0
"187",187,2,95,0,"retired",1,"no college",12,0
"188",188,1,60,1,"employed",1,"no college",12,0
"189",189,1,63,1,"employed",1,"no college",12,0
"190",190,1,64,0,"unemployed",1,"no college",12,0
"191",191,1,69,0,"retired",1,"no college",13,0
"192",192,2,44,0,"employed",1,"associate",99,0
"193",193,1,43,1,"employed",1,"no college",12,0
"194",194,2,36,0,"disabled",1,"no college",12,0
"195",195,2,31,1,"employed",1,"no college",14,0
"196",196,1,22,0,"employed",1,"no college",13,35000
"197",197,1,22,0,"employed",8,"no college",12,42000
"198",198,1,22,0,"employed",1,"no college",12,28000
"199",199,2,19,0,"unemployed",1,"no college",12,18000
"200",200,2,17,0,"employed",1,"no college",11,2500
"201",201,1,8,0,NA,0,"no college",0,0
"202",202,2,7,0,NA,0,"no college",0,0
"203",203,2,2,0,NA,0,"no college",0,0
"204",204,1,1,0,NA,0,"no college",0,0
"205",205,2,63,1,"employed",1,"master",17,0
"206",206,2,42,0,"unemployed",1,"no college",15,0
"207",207,2,22,0,NA,0,"no college",0,0
"208",208,2,55,1,"employed",1,"no college",12,0
"209",209,1,31,0,NA,0,"no college",0,0
"210",210,1,40,0,"employed",1,"no college",12,94000
"211",211,1,33,0,"employed",1,"no college",12,13847
"212",212,1,38,1,"employed",1,"no college",14,0
"213",213,1,19,0,"NA",1,"no college",10,0
"214",214,1,6,0,NA,0,"no college",0,0
"215",215,2,5,0,NA,0,"no college",0,0
"216",216,1,4,0,NA,0,"no college",0,0
"217",217,2,52,1,"employed",1,"no college",15,0
"218",218,2,23,0,"employed",1,"no college",14,20000
"219",219,2,84,0,"retired",1,"no college",14,0
"220",220,1,65,0,"furlough",1,"no college",12,0
"221",221,2,64,0,"employed",1,"no college",12,0
"222",222,2,35,1,"employed",1,"no college",15,0
"223",223,1,45,1,"employed",1,"no college",12,0
"224",224,2,59,0,"employed",1,"no college",13,0
"225",225,1,52,0,"employed",1,"no college",12,0
